agent,ici_class,phenotype_family,openfda_total_agent_reports,agent_family_reports,all_database_family_reports,all_database_reports,reporting_odds_ratio,ror_ci_low,ror_ci_high,drug_query,reaction_query,interpretation_role,claim_boundary
ipilimumab,CTLA-4,pneumonitis,42014,1448,72123,20328575,10.21,9.687,10.77,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,colitis,42014,5330,655379,20328575,4.389,4.265,4.518,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,hepatitis,42014,1289,112185,20328575,5.761,5.448,6.091,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,endocrine,42014,3086,57293,20328575,29.59,28.5,30.73,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,nephritis,42014,460,133893,20328575,1.674,1.527,1.835,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,cardiac,42014,551,26440,20328575,10.41,9.562,11.33,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,skin,42014,2585,725597,20328575,1.774,1.705,1.846,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,neuromuscular,42014,587,20425,20328575,14.49,13.34,15.74,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,pneumonitis,94347,3736,72123,20328575,12.16,11.76,12.57,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,colitis,94347,7392,655379,20328575,2.57,2.509,2.632,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
